n,inplace,extramemory
6150,0.273494,0.206021
6150,0.274274,0.194732
6200,0.278103,0.197067
6200,0.271393,0.193588
6250,0.277322,0.198795
6250,0.278171,0.198522
6300,0.282703,0.205569
6300,0.293421,0.208988
6350,0.285959,0.203775
6350,0.288472,0.208333
6400,0.298015,0.210919
6400,0.284804,0.2053
6450,0.293673,0.208888
6450,0.291344,0.208409
6500,0.308241,0.21206
6500,0.302079,0.212683
6550,0.307061,0.220025
6550,0.306871,0.21567
6600,0.311455,0.219782
6600,0.306639,0.216656
6650,0.309763,0.219412
6650,0.30972,0.226098
6700,0.322192,0.235699
6700,0.321797,0.228936
6750,0.328028,0.231295
6750,0.332179,0.230635
6800,0.325015,0.234826
6800,0.32654,0.237283
6850,0.324115,0.230763
6850,0.332233,0.238086
6900,0.33996,0.241057
6900,0.341686,0.239957
6950,0.349805,0.248016
6950,0.343966,0.248467
7000,0.349785,0.249218
7000,0.343053,0.248634
7050,0.347996,0.253511
7050,0.347151,0.251271
7100,0.361772,0.259266
7100,0.364631,0.264052
7150,0.371709,0.261353
7150,0.371246,0.265544
7200,0.365219,0.262963
7200,0.365452,0.264375
7250,0.376133,0.268291
7250,0.369228,0.26799
7300,0.37826,0.271134
7300,0.375871,0.27596
7350,0.382993,0.275076
7350,0.38007,0.278049
7400,0.384556,0.277593
7400,0.386249,0.278787
7450,0.393059,0.286341
7450,0.391246,0.28262
7500,0.394101,0.283511
7500,0.397053,0.286067
7550,0.403919,0.289314
7550,0.402052,0.288332
7600,0.406282,0.293098
7600,0.40806,0.292914
7650,0.406231,0.292116
7650,0.412067,0.296191
7700,0.413211,0.298599
7700,0.418533,0.301404
7750,0.423309,0.30693
7750,0.421577,0.305207
7800,0.421385,0.307276
7800,0.425852,0.31208
7850,0.43748,0.314209
7850,0.433469,0.315674
7900,0.440784,0.319233
7900,0.438773,0.319004
7950,0.447414,0.320121
7950,0.447908,0.321806
8000,0.451205,0.330212
8000,0.45497,0.322905
8050,0.454804,0.325214
8050,0.459201,0.327609
8100,0.464319,0.326502
8100,0.462722,0.329846
8150,0.470367,0.340232
8150,0.471204,0.341781
8200,0.478415,0.368579
8200,0.497053,0.379307
8250,0.507245,0.363816
8250,0.519025,0.380149
8300,0.50736,0.362093
8300,0.508067,0.358802
8350,0.494795,0.364475
8350,0.501207,0.361743
8400,0.511952,0.365349
8400,0.51443,0.366611
8450,0.529416,0.372767
8450,0.507772,0.366001
8500,0.518001,0.371159
8500,0.537078,0.374687
8550,0.53501,0.385605
8550,0.525431,0.375093
8600,0.53339,0.38209
8600,0.539513,0.384215
8650,0.547056,0.39315
8650,0.541406,0.385952
8700,0.543354,0.385966
8700,0.542416,0.389208
8750,0.558586,0.400591
8750,0.574183,0.441036
8800,0.560391,0.416606
8800,0.58293,0.411419
8850,0.586287,0.409434
8850,0.57278,0.407745
8900,0.567269,0.406055
8900,0.567047,0.405649
8950,0.594706,0.42112
8950,0.585519,0.426032
9000,0.577998,0.414109
9000,0.57868,0.416414
9050,0.603774,0.426747
9050,0.597601,0.426444
9100,0.593671,0.423216
9100,0.592525,0.421881
9150,0.617816,0.438526
9150,0.61051,0.436732
9200,0.60726,0.430729
9200,0.620919,0.455552
9250,0.640751,0.453334
9250,0.635859,0.459089
9300,0.636799,0.46689
9300,0.62194,0.4381
9350,0.617907,0.461533
9350,0.658149,0.477619
9400,0.643934,0.458935
9400,0.656932,0.456876
9450,0.690964,0.477365
9450,0.647964,0.514176
9500,0.685701,0.517858
9500,0.689966,0.499624
9550,0.667255,0.477228
9550,0.682047,0.508646
9600,0.699452,0.514715
9600,0.712208,0.512852
9650,0.720961,0.519901
9650,0.692072,0.493732
9700,0.691269,0.49909
9700,0.70012,0.500439
9750,0.701675,0.509153
9750,0.700368,0.503389
9800,0.704329,0.505131
9800,0.713255,0.506374
9850,0.715614,0.51652
9850,0.7124,0.509921
9900,0.724057,0.519485
9900,0.725281,0.520206
9950,0.733904,0.537905
9950,0.730241,0.520767
10000,0.754977,0.53639
10000,0.72079,0.527187
10050,0.732427,0.519105
10050,0.740446,0.535234
10100,0.76012,0.546873
10100,0.754861,0.532977
10150,0.757522,0.551311
10150,0.751047,0.531251
10200,0.752271,0.539862
10200,0.753373,0.542625
10250,0.75783,0.564319
10250,0.763552,0.544519
10300,0.76877,0.551364
10300,0.769016,0.555022
10350,0.819976,0.654394
10350,0.804115,0.576231
10400,0.78619,0.565421
10400,0.783867,0.567975
10450,0.809279,0.58237
10450,0.799509,0.586757
10500,0.825563,0.580406
10500,0.805897,0.582881
10550,0.809147,0.595215
10550,0.821104,0.588639
10600,0.953489,0.665488
10600,0.927723,0.703965
10650,0.811483,0.583454
10650,0.80803,0.584531
10700,0.824473,0.593369
10700,0.827858,0.592566
10750,0.831032,0.603656
10750,0.832601,0.597871
10800,0.838962,0.605697
10800,0.84046,0.601632
10850,0.845667,0.614212
10850,0.847307,0.611198
10900,0.867561,0.615989
10900,0.858186,0.615943
10950,0.870017,0.644904
10950,0.866206,0.621271
11000,0.873188,0.627542
11000,0.868874,0.628418
11050,0.882848,0.635878
11050,0.884514,0.632153
11100,0.885969,0.638607
11100,0.892581,0.633684
11150,0.899793,0.641579
11150,0.893289,0.642852
11200,0.90376,0.650617
11200,0.90112,0.660506
11250,0.913702,0.653611
11250,0.910887,0.657995
11300,0.931399,0.66226
11300,0.941477,0.666528
11350,0.942387,0.661801
11350,0.924227,0.672933
11400,0.936405,0.668056
11400,0.931258,0.672637
11450,0.949544,0.680172
11450,0.945769,0.67436
11500,0.952974,0.683821
11500,0.951886,0.684711
11550,0.960791,0.691005
11550,0.960792,0.688115
11600,0.96838,0.693849
11600,0.9686,0.698945
11650,0.980902,0.699906
11650,0.973596,0.701547
11700,0.983987,0.705691
11700,0.984086,0.707832
11750,1.000897,0.719941
11750,1.034884,0.730387
11800,1.00823,0.720034
11800,1.006169,0.716901
11850,1.013244,0.729768
11850,1.011082,0.726789
11900,1.018236,0.73407
11900,1.031085,0.731009
11950,1.036233,0.738458
11950,1.026184,0.739877
12000,1.036617,0.747574
12000,1.03155,0.746394
