n,time1,time2,time3,time4,time5,time6,inplace,extramemory
805,1.836275,1.089387,1.871669,1.737349,1.721835,1.120414,0.001303,0.001389
805,1.834327,1.091463,1.861747,1.739105,1.733266,1.119078,0.001109,0.00133
810,1.869579,1.111541,1.913541,1.765422,1.762227,1.145493,0.001296,0.001354
810,1.880271,1.115525,1.921754,1.772904,1.770463,1.143477,0.001186,0.001558
815,1.901951,1.1335,1.941443,1.797606,1.798456,1.16102,0.0013,0.001408
815,1.907573,1.135138,1.958573,1.809129,1.799516,1.16173,0.001289,0.0014
820,1.942242,1.153874,1.999068,1.90692,1.846829,1.189242,0.001317,0.001409
820,1.941296,1.153629,2.002786,1.973904,1.840691,1.188271,0.001318,0.001421
825,1.98026,1.178971,2.148171,1.943228,1.873739,1.211568,0.001307,0.001469
825,1.984389,1.177701,2.049836,1.887923,1.872567,1.21372,0.001337,0.001662
830,2.089356,1.274721,2.097118,1.983071,2.018475,1.249858,0.001369,0.001484
830,2.022016,1.200885,2.082435,1.932699,1.918595,1.229766,0.001404,0.001526
835,2.095398,1.220828,2.073707,1.941927,1.941891,1.24735,0.001471,0.001541
835,2.062273,1.213267,2.060871,1.895944,1.884878,1.240402,0.001335,0.001464
840,2.086992,1.232944,2.0844,1.932082,1.927932,1.264424,0.001437,0.001466
840,2.077136,1.231069,2.090079,1.92227,1.920236,1.265075,0.001436,0.001511
845,2.105463,1.263908,2.190265,2.154555,2.013999,1.307795,0.001462,0.001523
845,2.12034,1.320294,2.144834,1.977788,2.020766,1.295167,0.001463,0.001533
850,2.17373,1.292471,2.256169,2.150111,2.197063,1.346388,0.001343,0.001547
850,2.293144,1.335113,2.256347,2.126441,2.159444,1.361763,0.001341,0.001613
855,2.261896,1.34669,2.323293,2.145414,2.140718,1.37951,0.001436,0.001608
855,2.245153,1.321418,2.272156,2.14658,2.130679,1.356497,0.001439,0.001822
860,2.264706,1.342135,2.306827,2.148985,2.147048,1.38417,0.001534,0.001555
860,2.255563,1.339349,2.306744,2.132416,2.137524,1.378859,0.001409,0.001525
865,2.303383,1.369753,2.349841,2.194221,2.195976,1.400948,0.00146,0.00161
865,2.291932,1.367165,2.356536,2.188883,2.213246,1.405955,0.001491,0.001587
870,2.390683,1.391336,2.479155,2.326953,2.231424,1.437238,0.001377,0.001605
870,2.374726,1.400645,2.43721,2.378665,2.255272,1.435681,0.001567,0.001643
875,2.458649,1.448983,2.483904,2.36457,2.273925,1.485085,0.001328,0.001579
875,2.543015,1.473346,2.45045,2.368308,2.321499,1.499248,0.0015,0.001725
880,2.482529,1.487303,2.525186,2.350191,2.308415,1.476795,0.001547,0.001653
880,2.508157,1.450448,2.505705,2.447803,2.302791,1.476451,0.001503,0.001643
885,2.503462,1.506673,2.55717,2.483864,2.451626,1.556024,0.001556,0.001785
885,2.608455,1.511433,2.58341,2.484104,2.460211,1.565542,0.001671,0.001735
890,2.631348,1.519727,2.639755,2.584334,2.449913,1.581166,0.001524,0.001795
890,2.648084,1.532712,2.664434,2.631662,2.50691,1.579679,0.00157,0.001695
895,2.630984,1.548,2.689225,2.558633,2.531384,1.600349,0.001598,0.00183
895,2.641834,1.547969,2.670639,2.574995,2.543958,1.600719,0.001721,0.001978
900,2.740596,1.60133,2.765034,2.738812,2.687222,1.645346,0.001621,0.001899
900,2.748565,1.596802,2.750236,2.745211,2.675962,1.662239,0.001561,0.001734
905,2.768766,1.618416,2.800429,2.794322,2.681127,1.661061,0.001496,0.00174
905,2.774201,1.633757,2.768101,2.760049,2.71547,1.671163,0.001528,0.001899
910,2.82899,1.651803,2.833892,2.782289,2.752454,1.698232,0.001766,0.001989
910,2.858439,1.662583,2.830005,2.816524,2.713094,1.680534,0.001753,0.00183
915,2.82359,1.66692,2.883009,2.743344,2.713951,1.708607,0.00167,0.001954
915,2.833168,1.677646,2.897001,2.752234,2.730855,1.712867,0.001573,0.001931
920,2.870132,1.703052,2.934673,2.799549,2.765944,1.757371,0.001736,0.001807
920,2.871397,1.697637,2.92091,2.81358,2.75853,1.740244,0.001712,0.001803
925,2.921083,1.72605,2.978122,2.837631,2.822932,1.775555,0.001609,0.001901
925,2.908043,1.727601,2.990702,2.816828,2.799611,1.77616,0.001765,0.001876
930,2.961577,1.766166,3.031596,2.892288,2.852293,1.804677,0.001559,0.00183
930,2.956577,1.753339,3.031343,2.894493,2.864144,1.809232,0.001714,0.001815
935,3.01051,1.795647,3.079784,2.960816,2.919761,1.831544,0.001574,0.001833
935,3.013995,1.784997,3.089549,2.931005,2.90336,1.824649,0.001762,0.00188
940,3.071508,1.824578,3.144787,3.012452,2.97845,1.858811,0.001769,0.001947
940,3.063954,1.809606,3.121053,2.988825,2.936532,1.860876,0.001583,0.001876
945,3.115523,1.844207,3.169585,3.054004,3.002921,1.905513,0.001596,0.001922
945,3.127351,1.843292,3.184724,3.059144,3.013835,1.890924,0.001617,0.001913
950,3.167744,1.870296,3.22952,3.098944,3.087097,1.921429,0.001633,0.001939
950,3.153979,1.880569,3.236831,3.102447,3.057623,1.921016,0.001768,0.001976
955,3.208443,1.911005,3.293708,3.141809,3.118968,1.954025,0.001896,0.002103
955,3.226078,1.907654,3.290487,3.209772,3.124715,1.962387,0.001656,0.002019
960,3.273572,1.934654,3.342261,3.209012,3.141742,1.9926,0.001721,0.001941
960,3.265672,1.947442,3.345478,3.20137,3.198905,1.991015,0.001665,0.002046
965,3.567209,1.973497,3.525075,3.416669,3.296148,2.050107,0.002185,0.003953
965,3.586153,1.91687,3.443731,3.312213,3.284432,2.031365,0.002201,0.004847
970,3.613962,2.007768,3.568546,3.86063,3.70515,2.088639,0.002338,0.004279
970,3.765519,1.986508,3.615971,3.389988,3.311771,2.063142,0.002356,0.004249
975,3.59869,2.001673,3.591258,3.442133,3.339722,2.068683,0.002128,0.004381
975,3.593675,2.008642,3.624471,3.414276,3.329382,2.050025,0.002385,0.004386
980,3.59738,2.050131,3.688901,3.520647,3.557856,2.149357,0.002424,0.004429
980,3.680185,2.048796,3.736447,3.534228,3.433033,2.115188,0.002187,0.004626
985,3.72419,2.097018,3.766259,3.530901,3.472084,2.13894,0.002429,0.004376
985,3.675797,2.079476,3.729367,3.538413,3.547325,2.180454,0.002283,0.00467
990,3.712163,2.096828,3.792041,3.576581,3.550706,2.172563,0.002311,0.00467
990,3.920905,2.12337,3.844758,3.638122,3.531937,2.162201,0.002326,0.004512
995,3.826998,2.157756,3.892131,3.672382,3.556816,2.21081,0.002342,0.004458
995,3.782737,2.149898,3.832807,3.688286,3.651956,2.23261,0.002308,0.004408
1000,3.94863,2.194272,3.89927,3.698538,3.728824,2.293473,0.002352,0.004927
1000,3.997669,2.182885,3.973023,3.817184,3.643329,2.244298,0.002457,0.00457
